,BOD,COD,Cl⁻,EC,Depth,DO,NO₃⁻,TOC,WL,Temp,Turb,pH
B2,-0.032340685928116654,-0.03524391723631314,-0.022044956563151873,-0.024018987379204864,0.02422220504725242,-0.1192906114595439,0.1257389805740155,-0.015111964605561592,-0.251414646947233,0.03401307028240542,0.20439895109583067,0.05636008365748527
B3,-0.02866191815184573,-0.032131372917687494,-0.03864899442356312,-0.01146838302101281,0.019266456394645897,-0.1100282196848144,0.15098277853813621,-0.010093481032231033,-0.26346213678693975,0.0414549201648495,0.25991928367369177,0.058788560611514204
B4,-0.029017063833643553,-0.03406228464399547,-0.018522040216018533,0.03117461738874413,0.007013482367748988,-0.12324301808861306,0.17825272685079668,-0.006586750323270354,-0.3445536364827378,0.056989396994372846,0.32180866656673507,0.0646566701914372
B5,0.007803701053035667,0.004017494690351633,-0.01412189332985308,0.01828481819582879,-0.01593952399239131,-0.12156685769985238,0.22869903907823874,0.028307205010932198,-0.19165376701869727,0.042423341753328056,0.29939865894485734,0.041086165318951255
B6,0.10085986686765754,0.10602996064642141,-0.022876284563165827,-0.09166352250604493,-0.08050386541103367,-0.03303969934360943,0.23900007389060499,0.10054944570453639,0.44272258754142013,-0.0406668567582524,0.059334174511008496,-0.05404690785471662
B7,0.11733165423984208,0.12316332901525141,-0.02418594457795527,-0.10272719831031511,-0.08758105066488406,-0.027857823169871704,0.23838765017095392,0.11467158337071733,0.49794041914317677,-0.04784540618851507,0.033299533521941656,-0.06141099663555929
B8,0.12239356454881958,0.12944062768996856,-0.010386231647180427,-0.08274644311540763,-0.09828480850580945,-9.092401379803364e-05,0.2306134647024035,0.11730858169240933,0.5645484352388999,-0.06178435402382562,-0.02370413682022714,-0.07814131056499186
B8A,0.12913308590776365,0.1354012243992696,-0.010638404589192742,-0.10072503705166452,-0.0878568430564932,-0.022271165686632094,0.23188148879087908,0.12464762876266149,0.5441984284958047,-0.0571132151767597,-0.0285503028774472,-0.07912530861619525
B11,0.17824123727504243,0.1799898377474937,0.09744529271826116,0.03720457821112634,-0.07658247112065651,-0.1177068953862891,0.327806854268648,0.1845201789516618,0.37865385460917905,-0.041093141418414754,-0.12627570059677187,-0.12118262229725243
B12,0.14529407202072583,0.14356539435084667,0.11253173867756293,0.07973525447426405,-0.06262087324711207,-0.16369758927093025,0.36882480321879507,0.16128061301176003,0.16923372042309154,-0.014781441366775802,-0.05993171214161491,-0.10538512430092291
NDWI,-0.13868142542410994,-0.1452269905606363,-0.04901405976079919,0.061343407409862494,0.11957919895374756,-0.04142417141772552,-0.11039164495701491,-0.12171427010804539,-0.6281750518190241,0.07938708093593412,0.17406736956364288,0.11096962536124916
MNDWI,-0.16472775145626228,-0.16899776060513533,-0.08423387542199677,0.021068683010288004,0.08445939927755548,0.022186056180776136,-0.1448962345358898,-0.15114865772494238,-0.5820147171724024,0.08055375102211576,0.26684763357708924,0.13678289417064715
NDTI,0.027720566399264464,0.017977745170680428,0.17124349757010723,0.2913895022148081,-0.03560770253018586,-0.15461060821883693,0.23645899168459616,0.061532676479922936,-0.5986134812698872,0.09236896591399392,0.28155969991001323,0.03129633993859033
NDVI,0.12719476325112072,0.13475342758724357,0.02346694021072001,-0.10486224280345921,-0.0982712355319791,0.05719210521412435,0.06066172535979488,0.10646270698517443,0.6640449342001715,-0.0888554860038773,-0.22540709615695204,-0.108331277922043
NDCI,0.06375334330170931,0.07156678533173265,-0.06160739856191667,-0.1541322734277673,-0.0676018824673869,0.13492131891100298,-0.06916855990143507,0.03438976404723957,0.7081532747005299,-0.08681066320701113,-0.2010970993486164,-0.07576994396324833
MCI,-0.09811617723446726,-0.1093463132744116,0.02494070071194271,0.14898345839450675,0.07712608532259944,-0.10471027947764153,-0.01358105095597101,-0.07389780386233004,-0.7495497382550773,0.09872949548841654,0.2610707083306083,0.10652855654005626
FAI,0.11360766277791974,0.1237722343236704,-0.013530077828683599,-0.11005688864743962,-0.09176842615618391,0.10059171351327016,0.05969333985127487,0.09252579793850868,0.7429088075822038,-0.09332907003085456,-0.2174269032608399,-0.10163900778371705
SABI,0.04830791726605727,0.057191375661666516,-0.07645056925666464,-0.14800206129828,-0.06122095307601606,0.1650966987187556,-0.05632913121616039,0.017090681609972114,0.7507235850687406,-0.0985978335902666,-0.19468818023104137,-0.08139399468477242
