,BOD,COD,Cl⁻,EC,Depth,DO,NO₃⁻,TOC,WL,Temp,Turb,pH
B2,0.21671778633124278,0.20799407471468467,0.07776711013011176,0.07188597302685251,0.15000776375321123,-0.22273052246249167,0.12515560368135265,0.21244191404962232,-0.23572492004490378,0.3349368267166653,0.38075189990916775,0.043484980098521066
B3,0.2451778817589799,0.23596986919479573,0.06703924579607047,0.0910655593707069,0.12805345375590976,-0.2130857329694312,0.16975411612810704,0.237972967389367,-0.22930539203220326,0.33512646003634117,0.4427786928396929,0.04261976237184836
B4,0.30799567030666636,0.2944830020590485,0.11451813715849497,0.160072983431028,0.11506581775570557,-0.21948582917405512,0.20930252984241568,0.2960765734471786,-0.2615052386673799,0.34222382184974803,0.5040022568330906,0.059908806258803377
B5,0.2884156271798379,0.2796047561034492,0.10087358505780616,0.11767074070963827,0.07143288837062006,-0.2339967179638735,0.2764743516515552,0.2843353360066285,-0.11386822036391087,0.32035406938145716,0.4538963013035768,0.033074007413018365
B6,-0.02166375273432381,-0.01293795964929386,-0.1130255244590151,-0.146034420293222,-0.18290793115170006,-0.03877157717015682,0.2115646107600351,3.673689364781512e-05,0.42386651311386037,-0.056694636291041926,-0.041520199489372855,-0.11097974405513426
B7,-0.034783085498773916,-0.02448089912465079,-0.10646972001498622,-0.15212636950150038,-0.18855933026679378,-0.03243483466133768,0.2162245337070463,-0.011448449244863252,0.4299235617692874,-0.06963282329873591,-0.052790196623970054,-0.10406800760999418
B8,-0.04501968180276906,-0.03536532543228045,-0.1027782661532036,-0.13533433078224325,-0.22066992779244857,-0.003650823675994431,0.22145928466180553,-0.020707529472435232,0.4814046484383495,-0.14112788466560056,-0.129217721233624,-0.13077613226296192
B8A,-0.051369298227825565,-0.04163254273216015,-0.10963045634869815,-0.15491703433363577,-0.20752636484742962,-0.01887555727390045,0.20424450827233845,-0.026567218422148133,0.45564231994395493,-0.10323983178700843,-0.1307740989736774,-0.1285758558232177
B11,0.06410698905275335,0.07040517066678269,-0.02929031178721539,-0.019530787765736603,-0.21512126559286207,-0.11127013935520401,0.27628044996658946,0.08476084856410372,0.4181623282919898,-0.08771941566507926,-0.24929164323793296,-0.15818625046097956
B12,0.15681789856295225,0.15984042922592298,0.02276270227472511,0.045920911731063434,-0.1874841385249942,-0.1617585198020001,0.321136558121169,0.17431021943675565,0.3103387247142103,-0.00477891354054623,-0.16302253214766915,-0.12845426113847114
NDWI,0.1799426028107773,0.17474864478863805,0.10949388231035866,0.1357015638392104,0.2829178570910049,-0.05036472510548202,-0.06407527080791385,0.16030845346783593,-0.4846284416937586,0.29026989220035737,0.32258775111574217,0.17189811956925957
MNDWI,0.13369667246526587,0.13633255546377177,0.11141232481293076,0.12086352513599485,0.28992400422737513,-1.5664041365868207e-05,-0.07984951495460815,0.11801843912744013,-0.4671718339970441,0.2497056190357481,0.4125641657482272,0.18624985117318224
NDTI,0.3918890399376812,0.3763239930942592,0.25739901406495547,0.3622826277382925,0.03450810499493425,-0.14908079381549294,0.2884713761383255,0.3747138925475674,-0.2259856564272402,0.19200242266903375,0.44521462122994254,0.11169919934282556
NDVI,-0.20890773174380242,-0.20352683463744206,-0.12146198897976679,-0.16053806279479263,-0.2571063404143933,0.0568365516326955,0.01489899639167296,-0.18965307009017698,0.4619008855994734,-0.2779441878945484,-0.3641030221629481,-0.17210648416150734
NDCI,-0.2300244516132384,-0.22536041445394273,-0.11224945180365076,-0.17293490141829443,-0.2341776874618271,0.07259755176940173,-0.0735641945313196,-0.2187672599407623,0.34100614514245614,-0.22120858635170426,-0.31599323388625583,-0.14423891513956288
MCI,0.24143600438160115,0.23123514858784305,0.10530039216738507,0.16985158398891037,0.22628520796006282,-0.10684407629177434,-0.0009767111550646416,0.21991675003533318,-0.5004329353224718,0.31840856811126955,0.4146529800819013,0.1415221582698428
FAI,-0.16583065734633473,-0.15584402879726858,-0.07489274714981611,-0.11698788621378574,-0.2542101583137392,0.07062690124816631,0.07424827106461923,-0.14283729615706656,0.48473407609944363,-0.27810306783766475,-0.3477069998274372,-0.1564456415820296
SABI,-0.23396816387258643,-0.23064865578752972,-0.09602028043925297,-0.1553652912655901,-0.22933883364217658,0.1080654053205733,-0.032298723715564914,-0.22330823711533518,0.391665334812252,-0.27536535279497754,-0.3163759772636842,-0.12698229615622253
