,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
B2,3557.0,0.11351729623278084,0.05971117233959937,0.010579604134033,0.0790288101547086,0.0988831611899772,0.130857574542074,0.6161141037347495,3.0267761852121824,13.743573023206167
B3,3557.0,0.13709001928839062,0.052340694117027624,0.0128909039347519,0.1054792800833543,0.1254070805249705,0.1535607829690239,0.5442666932023048,2.6949052825293016,11.5953596270913
B4,3557.0,0.13216376285049863,0.054121503444487996,0.0127511684026309,0.0985249859245725,0.1218688795056332,0.1566259589561544,0.4851561148946753,2.0437058111007325,7.4995746539164365
B5,3557.0,0.16138376528484447,0.05098187515771603,0.0190024802586101,0.1333593147502237,0.1502917745107183,0.1798181673354912,0.4976997789326293,2.113864180431541,8.309577891992742
B6,3557.0,0.1987315283072878,0.05852093775628597,0.0254207770466022,0.1618939406684773,0.1938761148126612,0.2292597799037343,0.4647646699974034,0.5010987364324092,1.2961844952391615
B7,3557.0,0.21972790223533506,0.06634595534067156,0.0314637105920804,0.1775142148250101,0.212949118358777,0.2568261644640432,0.4527910178630226,0.3520070448813417,0.5389073538036273
B8,3557.0,0.2080714858492467,0.06645219750117579,0.0227755683244905,0.16686825285232,0.2010964062925788,0.2453510698632197,0.4344018361116885,0.3138597100715753,0.31881944872267054
B8A,3557.0,0.221117030524842,0.07452235455505908,0.0299522450745135,0.1727414173622665,0.212851704732413,0.2659614206092751,0.4491890637402658,0.30964620662701453,0.12118197820081145
B11,3557.0,0.1506773147752273,0.058264695264006926,0.0158866028073825,0.1126979727420821,0.1448955105810045,0.1929768964748952,0.3593125668076377,0.26352089198609224,0.20038179168524684
B12,3557.0,0.10932889162502459,0.04698106645891058,0.0109771744920174,0.0813471174181514,0.1046124337078704,0.136368259048731,0.3249655679952257,1.0167689885181066,2.589464702455149
NDWI,3557.0,-0.14053630775616255,0.20224615765911233,-0.7161453800282512,-0.265357400839259,-0.1243755706031567,-0.0161266314913807,0.5091095572010987,0.07357950045294005,-0.030081742919516152
MNDWI,3557.0,0.053709425302914074,0.2687157132267622,-0.4954088920444106,-0.1578593552289604,0.0777002141166735,0.2402311920170113,0.6774897751997531,0.05077427421893669,-0.6663015495195199
NDTI,3557.0,-0.04921024028122698,0.06293941579522493,-0.3483146282276288,-0.0794350441480086,-0.0352095627115471,-0.0064133225283029,0.0815981998213805,-1.0466789894697173,1.2756195560972547
NDVI,3557.0,0.16536797226674163,0.21732957266490635,-0.3782723298056578,0.0131103262423951,0.1402098602629673,0.3141460301320117,0.8466206787077776,0.24083989887672783,-0.39778132270124367
NDCI,3557.0,0.14009775184539702,0.08610340532709714,-0.0117131851593966,0.0806319817181726,0.1220769733582932,0.1806334768493288,0.4775848916041574,1.0308766738656385,0.9678093892928517
MCI,3557.0,-0.0063262385200391355,0.020380286583358068,-0.0749455042235317,-0.0185356099544967,-0.0024027326033618,0.0086925763834456,0.0334438372991438,-0.7440109578442274,0.35312079567718246
FAI,3557.0,0.07239930325222274,0.06584936165551557,-0.0536060779930917,0.0251871314246894,0.0598399966887611,0.1064442549999405,0.2727617075473199,0.7965249160858946,0.39463046165478755
SABI,3557.0,0.6204308237898735,0.6241409646443066,-0.2427060921537597,0.1758491024075963,0.476436525079606,0.871528332597197,3.1271283971762496,1.364227176365791,1.880871282809696
wq_Biochemical Oxygen Demand,3557.0,3.9947523193702557,8.628778781145149,0.5,2.1219,2.55,4.001,130.2091,9.107488803227094,95.79709100424085
wq_Chemical Oxygen Demand,3557.0,17.51522212538656,34.65583852981831,5.0,9.6186,11.7914,17.31,491.1786,9.00070364989617,91.38060212110368
wq_Chloride,3257.0,39.40303051888241,41.85177888600185,5.0,13.0767,28.7748,45.6682,200.0,2.428014464791109,6.278865912519379
wq_Conductivity,3557.0,314.9847546246837,157.9646558410126,1.0,227.1105,274.2905,364.8914,1334.2309,1.989791581875629,6.077486855142013
wq_Depth,3257.0,1.1054815167331902,1.739912539947587,-55.6582,0.7762,0.8745,1.1643,58.5219,-0.79217544482496,731.8930901858812
wq_Dissolved Oxygen,3557.0,6.886843547933653,1.831385678865535,0.2,6.3733,7.121,7.6664,20.0,-0.3723771609592661,5.971990534112768
wq_Nitrate,3557.0,1.8163183300534158,2.6083919633690607,0.3,0.3,0.3,2.6543,21.6,2.427861080943889,8.120239985644252
wq_Total Organic Carbon,3557.0,7.859677987067753,13.132533958873632,1.0,4.3948,5.3018,9.9262,195.3127,8.487952652125514,86.61095348978618
wq_Water Level,3257.0,149.34451906662574,168.83899219922478,-76.8273,51.2432,91.1905,186.0945,642.6482,2.025261285245102,3.1218225165472275
wq_Water Temperature,3557.0,28.454491003654766,23.090952213644044,4.68,27.5486,29.3342,30.2373,1387.1173,57.30952402921987,3373.374916164328
wq_Water Turbidity,3557.0,262.21375181332587,281.2028164138143,0.0,78.5264,183.6095,363.0843,2000.0,2.7023448220328596,11.044874005331009
wq_pH,3557.0,7.8813304470059045,0.6818062401513183,1.5775,7.6318,7.9277,8.2562,14.0,0.09467718525137518,18.400114258661937
