station_name,station_code,state,latitude,longitude,date,year,all_sources,n_params,min_trust,mean_trust,temperature,ph,conductivity,do,bod,cod,nitrate,fecal_coliform,total_coliform,tds,fluoride,arsenic,turbidity,chloride,hardness,sulphate,iron,calcium,magnesium,sodium,potassium,ammonia,tss,toc
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2008-10-01,2008,data_gov_in,15,0.63,0.719,29.6000003815,8.6000003815,315.0,8.6499996185,0.1000799984,,1.9014283419,,,,0.2508000135,,,26.0214996338,10.0,11.9904003143,0.0,34.4000015259,17.7390003204,28.2900009155,178.5,,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2009-08-01,2009,data_gov_in,15,0.63,0.702,27.0,8.5,200.0,8.8400001526,0.0900000036,,0.0,,,,0.4939999878,,,8.875,8.0,0.2207999974,0.0,30.0,3.4019999504,17.9169998169,80.0,,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2010-02-01,2010,data_gov_in,15,0.63,0.717,16.5,8.7150001526,435.0,9.5399999619,0.0900000036,,1.2470680475,,,,0.1254000068,,,39.0499992371,2.0,22.9871997833,0.0,22.0,14.5799999237,76.3600006104,139.0,,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2010-08-02,2010,data_gov_in,15,0.63,0.71,28.2000007629,8.1000003815,179.0,8.8500003815,0.2484000027,,1.3409080505,,,,0.2469999939,,,9.9399995804,8.0,23.0400009155,0.0,24.0,1.9440000057,19.2049999237,89.0,,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2010-10-01,2010,data_gov_in,15,0.63,0.71,28.0,8.5,221.0,8.3000001907,0.4176000059,,1.2663880587,,,,0.1254000068,,,22.0100002289,10.0,12.0,0.0,32.0,9.5985002518,19.3199996948,130.0,,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2010-12-01,2010,data_gov_in,15,0.63,0.71,21.0,8.6000003815,352.0,8.3000001907,0.4996800125,,2.00091362,,,,0.1140000001,,,15.9750003815,12.0,57.5999984741,0.0,26.0,13.3649997711,22.3099994659,85.0,,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2011-08-01,2011,data_gov_in,13,0.63,0.681,,7.8499999046,238.0,,0.0,,1.9304083586,,,,0.1805000007,,,13.9586000443,8.0,5.3951997757,0.100440003,31.0480003357,4.7688751221,11.4079999924,87.9800033569,,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2012-10-03,2012,data_gov_in,13,0.63,0.702,17.3999996185,8.0600004196,410.0,,0.0599999987,,,,,,0.0900000036,,,30.5900001526,10.0,20.2000007629,,34.2700004578,20.3199996948,29.3799991608,141.5573730469,0.3000000119,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2014-10-08,2014,data_gov_in,18,0.44099999999999995,0.483,28.0,7.2800002098,429.0,8.470000267,0.1000000015,16.0,,10.0,250.0,257.0,0.3100000024,,,28.0599994659,10.0,13.1000003815,,45.1199989319,16.3799991608,25.3400001526,145.2295074463,0.1899999976,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2016-10-05,2016,data_gov_in,17,0.44099999999999995,0.48,,6.2747998238,480.5,4.8899998665,0.2899999917,10.0,,1100.0,7000.0,288.0,0.2599999905,,,48.6399993896,10.0,20.3999996185,,37.3100013733,14.779999733,33.0499992371,135.4278717041,0.0500000007,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2017-08-01,2017,data_gov_in,15,0.315,0.671,,7.6100001335,198.0,4.8699998856,0.0700000003,158.0,,,,119.0,0.1199999973,,,18.2299995422,8.0,1.3999999762,,24.5599994659,9.0,0.75,57.6310005188,0.5199999809,,
A.B.Road X-Ing,,Madhya Pradesh,24.3461111111,77.1077777778,2021-09-01,2021,data_gov_in,20,0.315,0.599,24.0,7.8200001717,1054.0,8.3400001526,11.2700004578,36.0,0.6000000238,170000.0,1300000.0,667.0,0.150000006,,324.0,180.1699981689,9.0,74.1800003052,,56.7400016785,26.2399997711,142.6600036621,220.8000030518,0.1099999994,,
A/C Gomti River ( Bhusaula),,Uttar Pradesh,,,2018-01-01,2018,data_gov_in,4,0.63,0.765,,8.4,,7.6,3.2,,,17000.0,,,,,,,,,,,,,,,,
A/C Gomti River ( Bhusaula),,Uttar Pradesh,,,2019-01-01,2019,data_gov_in,4,0.63,0.765,,8.3,,8.1,3.2,,,8000.0,,,,,,,,,,,,,,,,
A/C Gomti River ( Bhusaula),,Uttar Pradesh,,,2020-01-01,2020,data_gov_in,4,0.63,0.765,,8.5,,8.3,3.2,,,8000.0,,,,,,,,,,,,,,,,
