target,total,NaN,sentinel_-999,below_physical_min,above_physical_max,clean_count,clean_pct
BOD,27189,122,32,358,38,26639,97.97712310125418
COD,27189,48,56,126,26,26933,99.05844275258377
Chloride,27189,1570,15,4,153,25447,93.59299716797234
EC,27189,12,15,2,0,27160,99.89333921806613
Depth,27189,1564,15,360,19,25231,92.7985582404649
DO,27189,48,15,6,2,27118,99.7388649821619
Nitrate,27189,140,15,6,346,26682,98.13527529515613
TOC,27189,46,15,109,0,27019,99.37474714038765
Water Level,27189,1578,15,26,0,25570,94.04538600169187
Temp,27189,44,15,6,90,27034,99.42991651035345
Turbidity,27189,22,15,196,5,26951,99.12464599654272
pH,27189,10,15,20,7,27137,99.80874618411858
