target,count,mean,std,min,p2,p25,median,p75,p98,max,n_below_p2,n_above_p98,n_iqr_outliers,iqr_outlier_pct
BOD,27035,29.223104124283335,1287.5470590654904,-836.74,0.5,1.39,2.79,4.68,34.26,124603.05,422,540,2665,9.857592010356944
COD,27085,27.414484031751893,99.19872642616049,-592.3,2.283600000000001,7.32,13.44,20.9,151.32159999999996,2654.26,542,542,2697,9.957541074395422
Chloride,25604,160.52332408998595,1665.2979244922856,-288.32,5.0,25.4775,47.0,96.18,259.7613999999996,112268.67,231,513,598,2.3355725667864395
EC,27162,571.0281098593623,382.27798948707226,-290.67,105.983,336.4225,440.565,687.6274999999999,1733.1641999999995,4316.61,544,544,1912,7.039246005448788
Depth,25610,1.2645478328777822,4.627790353456298,-291.35,0.06,0.82,0.98,1.33,3.96,138.66,501,452,2934,11.456462319406482
DO,27126,6.740560348005603,4.291500412352811,-290.45,0.1,5.63,7.12,8.39,12.455,34.67,532,543,2649,9.765538597655386
Nitrate,27034,21.064536139675965,124.48005362390487,-291.38,0.3,0.73,2.97,6.87,134.45200000000006,2021.17,418,541,2321,8.58548494488422
TOC,27128,10.524029416101445,23.09362944390221,-288.53,0.5,3.31,6.11,10.54,56.8857999999998,500.0,535,543,1765,6.506192863462106
Water Level,25596,111.25500820440693,77.2928636641501,-228.42,7.849,62.37,93.72,162.68,308.47,476.95,512,511,60,0.23441162681669012
Temp,27130,26.537996682639143,16.1473665334722,-271.05,14.71,21.23,27.81,30.58,33.73419999999998,1274.08,539,543,106,0.39071138960560264
Turbidity,27152,176.97331467295228,365.11187770132483,-290.23,0.01,18.8375,47.504999999999995,171.3275,1360.2915999999984,5042.63,543,544,3322,12.234826163818504
pH,27164,8.080003313208659,6.851704114248918,-290.99,6.47,7.68,8.12,8.41,9.27,528.6,538,541,1131,4.163598880871742
