region,stationId,rows,lat,lon,date_start,date_end
Lower Ganga,11783,1557,23.4801,87.3049,2021-12-06,2026-04-21
Lower Ganga,11815,1574,24.801,87.922,2021-11-26,2026-04-21
Lower Ganga,11816,1557,23.396,88.3626,2021-11-26,2026-04-21
Lower Ganga,11817,1593,22.9068,88.4039,2021-11-26,2026-04-21
Middle Ganga,11795,1567,25.42967,81.86069,2021-11-26,2026-04-21
Middle Ganga,11796,1513,25.504818,81.866305,2021-11-26,2026-04-21
Middle Ganga,11799,1413,25.920256,82.027409,2021-12-21,2026-04-21
Middle Ganga,11797,1551,25.1316,82.8784,2021-11-26,2026-04-21
Middle Ganga,11798,937,25.5868,83.60569,2022-01-06,2026-04-21
Middle Ganga,11784,1497,23.645699,85.527719,2021-12-29,2026-04-21
Middle Ganga,11814,1533,23.6771,86.7425,2021-11-26,2026-04-21
Upper Ganga,11790,217,28.685751,77.392687,2021-11-26,2026-04-21
Upper Ganga,11794,1185,29.114116,77.44042,2021-11-26,2026-04-21
Upper Ganga,11793,1529,27.44357,77.71386,2021-12-22,2026-04-21
Upper Ganga,11791,210,28.860677,77.795725,2021-11-26,2026-04-21
Upper Ganga,11792,200,28.397028,77.863309,2021-11-26,2026-04-21
Upper Ganga,11818,1502,28.90421,79.011582,2021-11-26,2026-04-21
Upper Ganga,11801,1508,26.40877,79.4914,2021-12-02,2026-04-21
Upper Ganga,11803,1543,28.029453,79.494042,2021-12-01,2026-04-21
Upper Ganga,11802,1502,25.91217,80.28931,2021-12-02,2026-04-21
Upper Ganga,11800,1501,25.78,80.5778,2021-12-13,2026-04-21
