stationId,Winter (Dec-Feb),Pre-Monsoon (Mar-May),Monsoon (Jun-Sep),Post-Monsoon (Oct-Nov)
11783,435,413,466,243
11784,405,384,465,243
11790,103,52,10,52
11791,81,101,23,5
11792,67,98,31,4
11793,428,411,450,240
11794,355,297,356,177
11795,448,417,457,245
11796,439,417,418,239
11797,440,416,454,241
11798,311,319,203,104
11799,356,355,484,218
11800,426,417,431,227
11801,424,417,430,237
11802,430,416,417,239
11803,449,415,453,226
11814,444,417,427,245
11815,449,418,464,243
11816,435,411,463,248
11817,443,418,484,248
11818,378,399,483,242
