Station_Code,Location,State,Temperature_C_Min,Temperature_C_Max,Temperature_C_Mean,DO_mg_l_Min,DO_mg_l_Max,DO_mg_l_Mean,pH_Min,pH_Max,pH_Mean,Conductivity_umhos_cm_Min,Conductivity_umhos_cm_Max,Conductivity_umhos_cm_Mean,BOD_mg_l_Min,BOD_mg_l_Max,BOD_mg_l_Mean,Nitrate_N_mg_l_Min,Nitrate_N_mg_l_Max,Nitrate_N_mg_l_Mean,Fecal_Coliform_MPN_100ml_Min,Fecal_Coliform_MPN_100ml_Max,Fecal_Coliform_MPN_100ml_Mean,Total_Coliform_MPN_100ml_Min,Total_Coliform_MPN_100ml_Max,Total_Coliform_MPN_100ml_Mean,Year
1491,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,8.0,8.0,8.0,8.6,8.6,8.6,8.4,8.4,8.4,94.0,94.0,94.0,,,,,,,,,,,,,2012
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,11.0,20.0,16.0,8.6,11.4,9.7,7.5,8.5,8.0,132.0,156.0,143.0,0.6,1.0,0.7,,,,5000.0,5000.0,5000.0,2300.0,7000.0,3867.0,2012
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,12.0,21.0,17.0,8.0,9.6,8.9,7.4,8.5,8.1,80.0,94.0,87.0,0.4,1.2,4.6,,,,1100.0,1100.0,1100.0,1100.0,200000.0,100000.0,2012
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,11.0,20.0,16.0,8.2,9.6,8.9,7.2,8.5,8.0,112.0,145.0,129.0,0.8,1.0,0.9,,,,,,,,,,2012
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,14.0,18.0,17.0,8.4,11.2,9.4,7.4,8.5,8.1,132.0,140.0,136.0,1.0,1.2,1.1,,,,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,2012
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,17.0,19.0,18.0,1.2,9.8,7.0,7.2,8.5,8.1,89.0,110.0,99.0,1.2,1.4,1.3,,,,17000.0,17000.0,17000.0,920.0,22000.0,7947.0,2012
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,15.0,19.0,17.0,8.2,10.4,9.0,7.3,8.5,7.9,118.0,142.0,131.0,0.6,1.4,1.1,,,,,,,,,,2012
1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,10.0,22.0,17.0,7.8,9.2,8.4,6.8,8.2,7.7,104.0,158.0,119.0,1.0,1.8,1.3,,,,,,,30.0,160.0,82.0,2012
2725,GANGA AFTER CONFL. OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,13.0,28.0,22.0,0.6,8.0,6.0,7.2,8.8,7.8,214.0,619.0,388.0,1.6,12.0,6.2,,,,,,,300.0,1600.0,1375.0,2012
1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,15.0,24.0,21.0,6.0,8.6,7.2,5.9,8.8,7.6,137.0,230.0,189.0,2.4,8.4,5.3,,,,,,,600.0,1600.0,1445.0,2012
