year,source,station_code,station_name,state,Temperature_C,Dissolved_Oxygen_mg_l,pH,BOD_mg_l,Nitrate_mg_l,TDS_mg_l,Fluoride_mg_l
2015,nwmp_pdf,2755,"BANGANGA (BATHING GHAT), KATRA, J&K",JAMMU & KASHMIR,310.0,5.8,7.2,2.4,0.0,,
2015,nwmp_pdf,3283,RIVER SINDH AT SONAMARG U/S,JAMMU & KASHMIR,140.0,7.7,7.2,1.0,0.0,,
2015,nwmp_pdf,3284,RIVER SINDH AT SONAMARG D/S,JAMMU & KASHMIR,138.0,7.2,7.2,0.5,0.0,,
2015,nwmp_pdf,1060,"GANGA AT HARIDWAR D/S, U.P",UTTRAKHAND,6.0,8.6,7.1,0.6,0.0,,
2015,nwmp_pdf,2725,GANGA RIVER AFTER CONFLUENCE,UTTRAKHAND,220.0,7.6,7.4,1.0,0.0,,
2015,nwmp_pdf,1061,"GANGA AT HARIDWAR D/S, U.P",UTTRAKHAND,500.0,8.8,7.8,1.0,0.0,,
2015,nwmp_pdf,2727,UPPER GANGA RIVER D/S ROORKEE,UTTRAKHAND,80.0,7.8,7.3,0.8,0.0,,
2015,nwmp_pdf,1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,1100.0,6.5,7.2,2.1,0.0,,
2015,nwmp_pdf,2488,"GANGA U/S, ANOOPSHAHAR",UTTAR,550.0,6.2,6.7,2.0,0.0,,
2015,nwmp_pdf,1145,"GANGA AT NARORA (BULASAHAR), U.P.",UTTAR PRADESH,610.0,7.1,7.1,2.3,0.0,,
2015,nwmp_pdf,2490,"GANGA AT KACHHLA GHAT,",UTTAR,410.0,8.0,7.1,2.0,0.0,,
2015,nwmp_pdf,1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,2600.0,6.4,7.2,1.9,0.0,,
2015,nwmp_pdf,1066,"GANGA AT KANNAUJ D/S, U.P",UTTAR,3900.0,6.2,7.6,2.2,0.0,,
2015,nwmp_pdf,1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,2400.0,6.6,7.4,2.1,0.0,,
2015,nwmp_pdf,1067,"GANGA AT KANPUR U/S (RANIGHAT),",UTTAR,2800.0,6.4,7.3,2.2,0.0,,
2015,nwmp_pdf,1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,31000.0,5.4,7.1,4.0,0.0,,
2015,nwmp_pdf,1147,"GANGA AT DALMAU (RAI BAREILLY),",UTTAR,8100.0,7.2,7.8,3.7,0.8,,
2015,nwmp_pdf,2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,7700.0,7.3,7.8,3.4,0.8,,
2015,nwmp_pdf,1046,GANGA AT ALLAHABAD,UTTAR,26000.0,7.2,7.4,3.3,0.0,,
2015,nwmp_pdf,2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,28000.0,7.2,7.5,3.5,0.0,,
2015,nwmp_pdf,1049,GANGA AT ALLAHABAD D/S,UTTAR,32000.0,7.0,7.4,3.4,0.0,,
2015,nwmp_pdf,2485,"GANGA U/S, VIHYACHAL, MIRZAPUR",UTTAR PRADESH,2000.0,7.6,7.5,2.1,0.0,,
2015,nwmp_pdf,2486,"GANGA D/S, MIRZAPUR",UTTAR,2100.0,8.1,7.8,2.3,0.0,,
2015,nwmp_pdf,1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,2700.0,7.5,7.9,2.5,0.0,,
2015,nwmp_pdf,1071,GANGA AT VARANASI D/S (MALVIYA,UTTAR,40000.0,7.0,8.4,4.2,0.0,,
2015,nwmp_pdf,1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,22000.0,7.0,8.4,3.5,0.0,,
2015,nwmp_pdf,1074,"GANGA AT BUXAR, BIHAR",BIHAR,2800.0,7.8,7.8,2.3,0.0,,
2015,nwmp_pdf,2551,"GANGA AT BUXAR,",BIHAR,5000.0,7.7,8.0,2.5,0.0,,
2015,nwmp_pdf,1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,2200.0,7.4,7.9,2.0,0.0,,
2015,nwmp_pdf,2556,"GANGA AT IRAPURI, DEHRI ON SONE,",BIHAR,900.0,7.0,7.7,1.2,0.0,,
2015,nwmp_pdf,2564,"GANGA AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA, BIHAR",BIHAR,2400.0,7.9,7.8,2.3,0.0,,
2015,nwmp_pdf,2552,GANGA DARBHANGA GHAT AT,BIHAR,9000.0,7.4,7.6,2.6,0.0,,
2015,nwmp_pdf,1079,"GANGA AT PATNA D/S (GANGA BRIDGE), BIHAR",BIHAR,2800.0,6.9,7.9,2.0,0.0,,
2015,nwmp_pdf,2555,"GANGA AT PUNPUN, PATNA, BIHAR",BIHAR,2200.0,6.8,7.2,2.2,0.0,,
2015,nwmp_pdf,2553,"GANGA AT FATUHA, BIHAR",BIHAR,2200.0,7.0,7.7,2.0,0.0,,
2015,nwmp_pdf,1817,"GANGA AT MOKAMA (U/S), BIHAR",BIHAR,1700.0,7.0,7.7,2.0,0.0,,
2015,nwmp_pdf,1815,"GANGA AT MOKAMA (D/S), BIHAR",BIHAR,3000.0,7.5,7.6,2.2,0.0,,
2015,nwmp_pdf,1818,"GANGA AT MUNGER, BIHAR",BIHAR,2400.0,7.5,7.6,2.1,0.0,,
2015,nwmp_pdf,2554,"GANGA AT SULTANGANJ, BHAGALPUR, BIHAR",BIHAR,2200.0,7.5,7.6,2.0,0.0,,
2015,nwmp_pdf,1819,"GANGA AT BHAGALPUR, BIHAR",BIHAR,3000.0,7.5,7.5,2.1,0.0,,
2015,nwmp_pdf,1816,"GANGA AT KAHALGAON, BIHAR",BIHAR,3000.0,7.6,7.8,2.4,0.0,,
2015,nwmp_pdf,3113,GANGA AT D/S BUXAR NEAR GANGA,BIHAR,2200.0,7.8,8.0,2.0,0.0,,
2015,nwmp_pdf,3114,"GANGA NEAR DANAPUR (NEAR PIPA PUL), BIHAR",BIHAR,1700.0,7.6,7.5,2.0,0.0,,
2015,nwmp_pdf,3115,"GANGA RIVER AT BARH, BIHAR",BIHAR,1400.0,7.8,7.8,2.0,0.0,,
2015,nwmp_pdf,3116,"GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA), BIHAR",BIHAR,1300.0,7.6,7.8,2.0,0.0,,
2015,nwmp_pdf,3117,"GANGA AT U/S SULATANGANJ, BIHAR",BIHAR,1400.0,7.6,7.7,2.0,0.0,,
2015,nwmp_pdf,3122,"GANGA AT MALSALAMI, PATNA, BIHAR",BIHAR,2200.0,7.2,3.2,2.0,0.0,,
2015,nwmp_pdf,3123,"GANGA RIVER AT BARAHIA, BIHAR",BIHAR,1700.0,6.9,7.7,1.8,0.0,,
2015,nwmp_pdf,3118,"GANGA AT U/S BHAGALPUR, BIHAR",BIHAR,1700.0,7.6,7.9,2.0,0.0,,
2015,nwmp_pdf,1080,GANGA AT BAHARAMPORE WEST,WEST BENGAL,13000.0,3.8,7.5,0.4,0.6,,
2015,nwmp_pdf,2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,23000.0,5.2,7.6,1.3,0.1,,
2015,nwmp_pdf,2506,"TRIBENI ON GANGA, NEAR BURNING",WEST BENGAL,11000.0,3.3,7.8,1.4,0.2,,
2015,nwmp_pdf,1054,GANGA AT PALTA WEST BENGAL,WEST BENGAL,30000.0,4.1,7.8,1.8,0.1,,
2015,nwmp_pdf,1472,GANGA AT SERAMPORE WEST,WEST BENGAL,70000.0,3.6,7.6,1.2,0.2,,
2015,nwmp_pdf,1053,GANGA AT DAKSHINESHWAR WEST BENGAL,WEST BENGAL,110000.0,4.5,7.7,2.9,0.0,,
2015,nwmp_pdf,1471,"GANGA AT HOWRAH-SHIVPUR, WEST",WEST BENGAL,50000.0,4.2,7.6,1.0,0.2,,
2015,nwmp_pdf,1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,115000.0,3.0,7.5,1.2,0.2,,
2015,nwmp_pdf,1052,GANGA AT ULUBERIA WEST BENGAL,WEST BENGAL,13000.0,2.9,7.4,1.2,0.2,,
2015,nwmp_pdf,1469,"GANGA AT DIAMOND HARBOUR, WEST BENGAL",WEST BENGAL,8000.0,4.2,7.8,1.2,0.0,,
2015,nwmp_pdf,1492,YAMUNA AT YAMUNOTRI,UTTARAKHAND,46.0,,,,,,
2015,nwmp_pdf,1494,YAMUNA AT U/S OF LAKHWAR DAM,UTTARAKHAND,0.0,,7.2,0.0,,,
2015,nwmp_pdf,1553,"YAMUNA, U/S PAONTA SAHIB",HIMACHAL PRADESH,17.0,,7.2,0.8,,,
2015,nwmp_pdf,1117,YAMUNA AT HATHNIKUND,HARYANA,54000.0,,7.2,1.0,,,
2015,nwmp_pdf,1119,YAMUNA AT SONEPAT,HARYANA,330.0,,7.3,2.0,,,
2015,nwmp_pdf,1120,YAMUNA AT WAZIRABAD,DELHI,2.0,,7.4,1.0,,,
2015,nwmp_pdf,1121,YAMUNA AT NIZAMUDDIN,DELHI,2400000.0,,7.6,5.0,,,
2015,nwmp_pdf,1812,YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN,DELHI,2400000.0,,7.5,27.0,,,
2015,nwmp_pdf,1497,YAMUNA AT MAZAWALI,UTTAR PRADESH,160000.0,,7.5,9.0,,,
2015,nwmp_pdf,2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,48000.0,,7.1,7.8,,,
2015,nwmp_pdf,1123,YAMUNA AT MATHURA U/S,UTTAR PRADESH,7800.0,,7.5,7.0,,,
2015,nwmp_pdf,2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,70000.0,,7.5,8.4,,,
2015,nwmp_pdf,1124,YAMUNA AT MATHURA D/S,UTTAR PRADESH,13000.0,,7.6,7.0,,,
2015,nwmp_pdf,1125,"YAMUNA AT AGRA U/S, U.P.",UTTAR PRADESH,14000.0,,7.6,4.0,,,
2015,nwmp_pdf,1126,"YAMUNA AT D/S OF AGRA,",UTTAR PRADESH,17000.0,,7.8,7.0,,,
