state,station_name,parameters___dissolved_oxygen__mg_l______criteria__5_0_mg_l____2018,parameters___dissolved_oxygen__mg_l______criteria__5_0_mg_l____2019,parameters___dissolved_oxygen__mg_l______criteria__5_0_mg_l____2020,parameters___faecal_coliform__mpn_100_ml_____criteria__2500_mpn_100_ml____2018,parameters___faecal_coliform__mpn_100_ml_____criteria__2500_mpn_100_ml____2019,parameters___faecal_coliform__mpn_100_ml_____criteria__2500_mpn_100_ml____2020
Uttarakhand,Bhagirathi at Gangotri,8.8,10.3,9.8,7,7,2
Uttarakhand,"Mandakini b/c Alaknanda, Rudraprayag",9.2,9.5,9.8,450,1.9,1.8
Uttarakhand,"Alaknanda b/c Mandakini, RudraPrayag",9.2,9.7,9.4,2300,1.9,1.8
Uttarakhand,"Alkananda a/c Mandakini, Rudraprayag",9.2,9.7,10.1,780,1.9,1.8
Uttarakhand,"Bhagirathi b/c Alaknanda, Devprayag",9.2,9.7,10,36,1.9,1.8
Uttarakhand,"Alaknanda b/c Bhagirathi, Devprayag",9.2,9.5,10,780,1.9,1.8
Uttarakhand,"Alaknanda a/c Bhagirathi, Devprayag",9.4,9.7,10.6,490,1.9,1.8
Uttarakhand,U/s Rishikesh,9.8,10.1,10.6,NA,17,12
Uttarakhand,"A/c Song Near Satyanarayan Temple, d/s Raiwala",8.8,9.1,9,NA,110,50
Uttarakhand,Rishikesh d/s,9.6,9.7,9.8,NA,30,22
Uttarakhand,Har-ki- pauri Ghat,8.8,9.7,9.8,NA,30,32
Uttarakhand,Haridwar d/s,9.1,9,9.2,NA,140,60
Uttarakhand,Roorkee d/s,9.2,9.3,9.4,NA,70,46
Uttar Pradesh,Madhya Ganga Barrage (Bijnor),8.8,8.3,8.8,NA,NA,NA
Uttar Pradesh,Garhmukteshwar,7.79,8.7,9.1,330,505,350
Uttar Pradesh,Brijghat Gharmukteshwar,8.03,8.4,9.3,210,240,210
Uttar Pradesh,U/s Anoopshahar,7.4,8.3,8.5,270,230,780
Uttar Pradesh,Anoopshahar d/s,8.95,8.3,8.6,235,220,1100
Uttar Pradesh,Narora (Bulandsahar),7.45,8,8.6,270,540,1100
Uttar Pradesh,Kachhla Ghat (Aligarh),7.4,10.1,10.3,220,220,220
Uttar Pradesh,Farrukhabad,8.5,8.5,8.8,1700,1350,1000
Uttar Pradesh,U/s Kannauj (Rajghat),8.15,8.3,8.5,2200,2100,1700
Uttar Pradesh,Kannauj d/s,8.75,8.1,8.2,2750,2650,2250
Uttar Pradesh,Bithoor (Kanpur),8.2,7.5,8.5,2500,2150,1800
Uttar Pradesh,U/s Kanpur (Ranighat),7.1,7.5,8.4,2950,2600,2600
Uttar Pradesh,Bathing Ghat (Bharaoghat),7.7,7.6,8.2,2700,2200,2200
