State,District,Basin,Sub_Basin,Station_Name,Station_Type,Date,Month,Year,Agency_name,Latitude,Longitude,_24d,_as,_do,aldrin,alk_phen,alk_tot,b,barium,bhc,bod,bod3_27,ca,carbon_14,cd,chlf_a,cl,cn,co3,cocci,cod,cr,cu,data_gov_update_date,ddt,dieldrin,do_sat_,ec_fld,ec_gen,endos,f,fcol_mpn,fe,har_ca,har_mg,har_total,hco3,hg,k,mg,na,na_,nh3_n,ni,no2_n,no2_no3,no3_n,o_po4_p,org_n,p_tot,pah,pb,ph_fld,ph_gen,rsc,sar,secchi,sio2,sio3,so4,ss,tcol_mpn,tds,temp,toc,ts,turb,zn,_401,ag,al,colour_cod,d_o,d_o_,mn,odour_code,oxygen_18,pcb,ph,phenols,radon,se,strontium,tritium,uranium,no2__n,caco3,mgcaco3,bod
Rajasthan,DHOLPUR,Ganga,Yamuna,DHOLPUR,Surface Water,1981-04-13 09:30:00,04,1981,CWC,26.6594444444,77.9030555556,NA,NA,NA,NA,15.936000824,236,0.1958400011,NA,NA,NA,NA,23,NA,NA,NA,46.1500015259,NA,19.2000007629,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,743,NA,NA,NA,0,NA,NA,136.4750061035,248.8800048828,NA,0.3910000026,18.954000473,42.0900001526,40.252571106,NA,NA,0,0.2802399993,0.2802399993,0.5167000294,NA,NA,NA,NA,NA,8.4300003052,2.0119669437,1.5735286474,57.5,16.3999996185,NA,28.7999992371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,AGRA,Ganga,Yamuna,AGRA(POIYAGHAT),Surface Water,1981-04-01 09:30:00,04,1981,CWC,27.2541666667,78.0230555556,NA,NA,7.6700000763,NA,23.8999996185,288,0.400000006,NA,NA,NA,1.5599999428,58.2000007629,NA,NA,NA,302.1099853516,NA,28.7999992371,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,1980,NA,NA,NA,0,NA,NA,359.1400146484,292.799987793,NA,1.9600000381,51.2700004578,126.9599990845,43.5,NA,NA,0,0,0,1.0299999714,NA,NA,NA,NA,NA,8.1599998474,0,2.9300000668,0,16.3999996185,NA,121.4400024414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,MAINPURI,Ganga,Kali,Bewar,Surface Water,1981-04-01 08:00:00,04,1981,CWC,27.2361111111,79.3291666667,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,36.1199989319,NA,NA,NA,36,NA,28.7999992371,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,723,NA,NA,NA,NA,NA,NA,202.0916595459,531.9199829102,NA,6.8000001907,26.8299999237,62,39.1919937134,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8.3000001907,5.6685051918,1.9044970274,90.2999954224,2,NA,35.3899993896,NA,NA,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,PRAYGRAJ,Ganga,Ganga,Allahabad,Surface Water,1981-04-01 09:25:00,04,1981,CWC,25.4030555556,81.9113888889,NA,NA,NA,NA,0,239.9999847412,0.6000000238,NA,NA,NA,NA,41.2799987793,NA,NA,NA,33,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,585,580,NA,0.0500000007,NA,0.0099999998,NA,NA,257.9916687012,292.799987793,NA,1.7000000477,37.1500015259,39,24.7399101257,NA,NA,0,0.0099999998,0.0099999998,NA,NA,0.001,NA,NA,7.8000001907,8,0,1.0605562925,103.1999969482,7.5999999046,NA,49.5999984741,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,PRAYGRAJ,Ganga,Tons,Mejaroad,Surface Water,1981-04-01 08:00:00,04,1981,CWC,25.2375,82.0377777778,NA,NA,NA,NA,7.968000412,560,0.001,NA,NA,NA,NA,224.4600067139,NA,NA,NA,158,NA,9.6000003815,NA,NA,NA,NA,2025-08-27,NA,NA,NA,1470,1464,NA,0.0500000007,NA,NA,NA,NA,748.1916503906,663.6799926758,NA,0.8000000119,44.8899993896,67.5,16.4466705322,NA,NA,NA,NA,0.1400000006,NA,NA,0.001,NA,NA,7.3000001907,7.4000000954,0,1.0758568048,561.1500244141,16,NA,130,NA,NA,937,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,RAMPUR,Ganga,Ramganga,Rampur,Surface Water,1981-04-01 08:00:00,04,1981,CWC,28.7866666667,78.9861111111,NA,NA,NA,NA,11.9519996643,272,NA,NA,NA,NA,NA,24.0799999237,NA,NA,NA,10,NA,14.3999996185,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,150.4916687012,302.5599975586,NA,2.0999999046,21.6700000763,7,9.1078472137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,2.4544606209,0.2492377162,60.2000007629,2,NA,27.1000003815,NA,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,SITAPUR,Ganga,Gomti,Neemsar,Surface Water,1981-04-01 08:00:00,04,1981,CWC,27.3461111111,80.4777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.1199989319,NA,NA,NA,10,NA,14.3999996185,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,556,NA,NA,NA,NA,NA,NA,169.8416595459,373.3200073242,NA,31,19.0900001526,65,40.4272003174,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,8.3000001907,3.2257523537,2.1769895554,90.2999954224,1,NA,12.7600002289,NA,NA,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,SONBHADRA,Ganga,Sone,Chopan,Surface Water,1981-04-01 08:00:00,04,1981,CWC,24.5297222222,83.0230555556,NA,NA,NA,NA,0,156,0.6600000262,NA,NA,NA,NA,38.7000007629,NA,NA,NA,27,NA,0,NA,NA,NA,NA,2025-08-27,NA,NA,NA,430,427,NA,0.1000000015,NA,NA,NA,NA,180.5833435059,190.3200073242,NA,0.5,20.1200008392,16.2999992371,16.4551010132,NA,NA,NA,NA,0.0099999998,NA,NA,0.001,NA,NA,7.8000001907,8,0,0.5294248462,96.75,14.6999998093,NA,33.7999992371,NA,NA,273,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rajasthan,DHOLPUR,Ganga,Yamuna,DHOLPUR,Surface Water,1981-05-01 07:45:00,05,1981,CWC,26.6594444444,77.9030555556,NA,NA,NA,NA,19.9200000763,240,0.1598400027,NA,NA,NA,NA,36.5999984741,NA,NA,NA,46.1500015259,NA,24,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,844,NA,NA,NA,0.1860000044,NA,NA,137.5687408447,244,NA,0.3910000026,11.0565004349,48.0699996948,43.2253570557,NA,NA,0.0137999998,0.0137999998,0,0,NA,NA,NA,NA,NA,8.0399999619,2.0631332397,1.7875932455,91.5,11.6000003815,NA,55.2000007629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uttar Pradesh,BASTI,Ganga,Ghaghra,Basti,Surface Water,1981-05-01 08:00:00,05,1981,CWC,26.7844444444,82.7125,NA,NA,NA,NA,41.8320007324,432,0,NA,NA,NA,NA,36.9799995422,NA,NA,NA,9,NA,50.4000015259,NA,NA,NA,NA,2025-08-27,NA,NA,NA,NA,441,NA,NA,NA,NA,NA,NA,154.7833251953,424.5599975586,NA,27,14.9600000381,76,46.7391777039,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,7.8000001907,5.5625715256,2.6654086113,92.4499969482,0.0199999996,NA,21.8099994659,NA,NA,282,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
